Bubble Sort
1000 >> 0.00703838
1050 >> 0.00778597
1100 >> 0.00868717
1150 >> 0.00948231
1200 >> 0.0104244
1250 >> 0.0113617
1300 >> 0.0122299
1350 >> 0.0133058
1400 >> 0.0143102
1450 >> 0.0160261
1500 >> 0.016591
1550 >> 0.0178169
1600 >> 0.0191499
1650 >> 0.0201513
1700 >> 0.021575
1750 >> 0.0229775
1800 >> 0.0242908
1850 >> 0.0256678
1900 >> 0.0271099
1950 >> 0.0286277
2000 >> 0.0301762

Quick Sort
1000 >> 0.000145406
1050 >> 0.000153872
1100 >> 0.000161164
1150 >> 0.000169525
1200 >> 0.000177387
1250 >> 0.000185612
1300 >> 0.000193132
1350 >> 0.000202081
1400 >> 0.000210169
1450 >> 0.000217996
1500 >> 0.00022578
1550 >> 0.000234641
1600 >> 0.000242491
1650 >> 0.000251065
1700 >> 0.000259344
1750 >> 0.000267427
1800 >> 0.000275134
1850 >> 0.000284273
1900 >> 0.000293395
1950 >> 0.000301019
2000 >> 0.00031013

Heap Sort
1000 >> 0.000377356
1050 >> 0.000405348
1100 >> 0.000428124
1150 >> 0.000515002
1200 >> 0.000473663
1250 >> 0.000481168
1300 >> 0.000503264
1350 >> 0.000527143
1400 >> 0.000547243
1450 >> 0.000569842
1500 >> 0.000590695
1550 >> 0.000613037
1600 >> 0.000645231
1650 >> 0.000660651
1700 >> 0.00068273
1750 >> 0.000706931
1800 >> 0.000728996
1850 >> 0.000752032
1900 >> 0.000774867
1950 >> 0.000798477
2000 >> 0.00082161
